id,comment,category,label,note
86,et niicu cintar desh ki kre supar paojà¦¼ar hojà¦¼ar sbpn dekhe,,Negative,
87,ohngkarta ektu kmaota hle aro onek phjan barbe tomar,,Negative,
88,ajker mjac dekhe amra ki shikhlam ampayarer pket grm kre dile sb smbhb,,Negative,
89,bipiele baje ampeyaring prthm bipiel thekei hcche ar prti mjacei ekta duita bhul disishan thake,,Negative,
90,diner pr din shudhumatr dhoirj na dhrte parar jnje apni br ongker ran pan naar kto din dekhbo baje sht khele aut hye aschen,,Negative,
91,ampayrra je priman baje siddhant nicchen tate tara je ekhno susth achen etai tader bhagj,,Negative,
92,dhaka hcche ekta corer dl,,Negative,
93,apnake onek onek shubhecchaapni amader grb,,Positive,
94,obhinndn oyasphiya ke,,Positive,
95,grb krar mt emn manusherai shironame thakar jogj emn manushi duniyate amader prkà§ƒt prtinidhi,,Positive,
96,erdogan bishber sera president à§·,,Positive,
97,sakib onjay kreche stji kthakintu sei onjayer bicar krar kono jogjtai papnder neiar sakiber thekeo onek beshii opradh otiite onek kheloyar kreche sb test pleying deshertander ei rkm guru dnd kkhnoi deoya hy nai ebng hy na,,Negative,
98,bah beshto bahadur bte amader kriket bord,,Negative,
99,bangladesh kriketke dhbngs krte hatursingyer prthm sphlta,,Negative,
100,sakib asle kichutei thik hcchil na ei shasti or prapj chil,,Negative,
101,majhe majhe amader kthor hoya ucit ta na hle sakib er mto kheloyar ra niyntrn er baire cle jay,,Negative,
102,ken je imrul kayes namk gadha pleyar tare ney na pare bjating na pare bling na pare philding or ceye kt bhalo bhalo pleyar pre aache nirbackra oder cokhe dekhe na ken,,Negative,
104,taskiner darun prtjabrtn,,Positive,
107,ei manushta bibhrant krche sbaike smsja acheekek smy ekek ktha,,Negative,
108,shalar kyta dant dekha jaymnehy tabhul ktha kile oisb thakbe na,,Negative,
109,shuru theke shesh shantipuurni chil shudhu majhe chatrliig jinishta tader ciracrit kutsit ceharata dekhiye ohings andlne shingstay neoyar cesht krechil,,Negative,
110,mal abullar takla mathay ektu tbla bajaite parle bhal ht,,Negative,
111,ki pabe kono kaje ghush na dile hbe na sadharn nagrikra shudhu diyei jabe ar srkarii cakuriijiibiira shudhu ghush niyei jabe,,Negative,
112,matr kyek jn subidha bhog krbe ar er osubidha bhog krbo amra sbai,,Negative,
115,srkar bhalo siddhant nil dhnjbad bangladesh srkarke,,Positive,
116,mago tomar chelera dabii oaday krei ghre phireche,,Positive,
118,abul mal hye gechen besamal emn abol tabol ktha na ble tar obsr neoya ucit,,Negative,
121,srkar ki taka niye desh theke palabe naki eto bhjat,,Negative,
122,shikhano hy ebng kra hy phto bheriphikeshn khola temporari lk khola ek e skl e post kra nam chara aidi khola hy shikhano hy aidi kard kra hy jogajogh hoyats ojap nambarphesbuk e inbks krun,,Neutral,
123,nam tar abul mal ktha ble talbetal andolner cape hye geche besamal,,Negative,
124,thelar nam babaji eta bienpi jamater andoln na je guli churben ar ora idurer grte lukobe eta chatr andoln odhikar aday na hoya prjnt andoln clbe,,Negative,
125,grdbh,,Negative,
126,khaite khaite mukh br hye geche,,Negative,
129,oi halar bys hiya geche beshi ter paib kemnety oi je pagl hiche smajer sklei ter piche,,Negative,
130,tui bhjat deoya bndh krbi naki shala rabish bl,,Negative,
132,mal sahebapnar mathay geabr o naiseta thakle kichu sar paoyajet,,Negative,
135,omanush,,Negative,
136,shat bchr pre manusher buddhi kmte shuru kre shatordhbke gurutbpuurn pde rakha sthik na,,Negative,
137,ekti koutuk o bhjat ajim ek resturenter sainborde bdà¦¼ kre lekha apnar bil prishodh krte hbena bil prishodh krbe apnar nati à§· cirkumar ek bhdrlok opharti dekhe resturente dhuke icchamt khelen à§· khaojà¦¼a daojà¦¼ar pr jkhn ber hjà¦¼e jacchilen thik tkhn ojà¦¼etar bhdrloker hate ekta bil dhrijà¦¼e dil à§· tini mjanajarke bllen e kemn prtarna apnara na bllen amar bil amake prishodh krte hbena prishodh krbe amar nati à§· mjanejar bllen eta apnar bil ke bleche eta chil apnar dadar bil à§· cirkumar bhdrlok birkt hjà¦¼e ekta shbdi bllen rabis à§· manniijà¦¼ orthmntrii bllen shikshatriider bhjat dite hbe na bhjat debe besrkarii bishbbidjaljà¦¼ krtipksh à§· asha kri ehen siddhanter jnj manniijà¦¼ mntriike dhnjbad dijà¦¼e keu khato krbe na kintu sei prtishthan kar kach theke bhjater pjà¦¼sa guli adajà¦¼ krbe shuni besrkarii bishbbidjaljà¦¼ gulor takar gach ba phektrii kontai je nei ta amra sbai jani à§· jara orthmntriir siddhantti shune bhabchen i n da jà¦¼ re kt li pjà¦¼sa guli chatrder kach theke nejà¦¼a hcche tara hjà¦¼t cirkumar bhdrloker mt rabis shibdti blben à§· amader deshe mot jnsngkhjar onupate srkarii ba pablik bishbbidjaljà¦¼ gulo jthesht njà¦¼ khubi olp à§· onekei badhj hjà¦¼e praibhet unibharsitite bhrti hjà¦¼ à§· sbai mne kre praibhet bishbbidjalyer chatr chatrii sbai khubi scchl pribarer sntan à§· esb besrkarii bishbbidjaljà¦¼er shikshatrii sbai kintu arthik dik theke scchlna à§· onek mdhjbitt pribar à¦‹n kre chelemejà¦¼eder pdà¦¼ashunar khrc calan à§· unar ei siddhante kichu chele mejà¦¼er pdà¦¼ashuna hjà¦¼t bndh hjà¦¼e jabe tate mntrii mhodjà¦¼er kono kshti hbena ken na tader chele mejà¦¼era pdà¦¼ashuna kre desher baire à§· srkarer ucit chil shikshar name esb bjbsa bndh kra à§· praibhet unibharsiti chatr chatriider kach theke tiushn phi jen aro kmijà¦¼e nejà¦¼ seidike njr dejà¦¼a kintu tara krchen ulto kaj à§·,,Negative,
138,pagle deshta shesh hye gel,,Negative,
139,scib gulo kkhno manush hte pare na,,Negative,
140,apnara jouktikta khuje pabenna karn apnar srkar jngner bhote nirbacit ny,,Negative,
143,shiksha ki pnj tbe bhjat ki jnj amar bape to mntrii ny nyto etiem buth kalo biral nei amader taka ki jogabe bhuut amar jiibn niye jdi srkar khele dangguli rajpth charb na amra drkar hle khab guli ghusher opr bhjat ache bhjat ache ki kalo takay ami ki tbe allar mal dhandha kjan amar belay panc pysao bhjat debna tora jt paris guli cala bhebechis kichu bujhina mal peyechis amader shala,,Negative,
144,pulish diye andoln thamate thamate khub sahs hyeche jngn ar shj krbena,,Negative,
145,shiksha khat kon inkam sors ny sb bojh eita bojh na,,Negative,
146,cai juddh hbe shuddh krb ebar prajy mora chatr pora gatr lal rkter hbe jy,,Negative,
147,or dosh na sb dosh shekh hasinar karn ken ore obsr dicche na,,Negative,
148,mama mal age jantam tumi mal taka kamanor jnj rajniitite esecho kintu ekhnto dekhchi tumi ratdin mal botl khaiya matal hiya abol tabol kthao bla shuru kre diyechobanglar damal chatrder itihas ki bhule gech mama malbhasha andolnmuktijodbd sboiracariir ptn egulo ki bhule gech mamajdi bhule jeye thak ar sbabhabik obshay thako tahle nijeke shudhriye nao ta nahle tomar matlami kibhabe bndb krte hbe ta chatrra janeprisheshe mal mamake blte cai mal khao mal kamao smsja nai kintu chatrder nikt theke jiibner sheshdin prjnt dure thako ar chatrder lekhapray mnonibesh krar sujog dao,,Negative,
149,rajnoitikra beshii labhbanei pricyer upr bhitti krebhà§½at arop kra hokerai luttraj,,Negative,
150,amar sndeh ache apni asle susth mstishke achen kina aj ei ktha to kal arek kthaphaltu,,Negative,
151,taka ki tor babay kamai kre shiksharthiider dey deshtake mger mulluk paichis,,Negative,
152,amra kemn deshe achi je deshe manusher moulik odhikarer jnj bhjat dite hbe,,Negative,
155,or bys hye geche bys hleto manush bacca hye jay nana rkm obastb abdar kre,,Negative,
156,mathata geche re,,Negative,
157,corer kach theke na niye chatrder kach theke nicche e kon dhrner brbrta srkar blechen shikha holo moulik odhikar ei moulik odhikare bagh bsale moulik odhikar kothay thake,,Negative,
167,oapnar baba ma nishcy onek bhal kaj kreche tai oapni onader ghre jnm niyechen salam marup bhai,,Positive,
168,ini hcchen manush ar amra pshur mti nijer ar nijeder sukh niye bjast ke ki krche kemn ache thak nije bacle baper nam,,Negative,
169,ei duniyate bhalo bhalo manush ekhno ache blei duniya clteche allah taala jen ei lokta ke duniya akhere kamiyabi kren amiin,,Positive,
170,kjameray hiro hoya shj kintu bastb jiibne hiro hoya khubi kthin kaj ja sbai pare na dhnjbad maruph bhaiya,,Positive,
171,manush manusher jnj à§· bhai apnar prti shubh kamna ril à§· apnar ei mht kajer jnj à§· mhan allah apnar shajà¦¼ hon à§·,,Positive,
172,sjalut tomay,,Neutral,
173,onushthan dekhte bsle bhulei jai kon onushthan dekhte bschi na bijnapn dekhte bschi,,Negative,
174,eta ekta karn ar manhiin onushthan,,Negative,
175,bangla desher cenelgulu jen bijnapner prtijogitay nemeche,,Negative,
177,bijnapner bhitr onushthan,,Negative,
179,amra onushthaner majhe ejad dekhina ejader majhe onushthan dekhi,,Negative,
181,asun sbai mile bhartiiy tibhi siriyal brjn kri,,Negative,
183,sthik lagamhiin bijnapn keu i pchnd kre na,,Negative,
185,ekhn ja clche tate mne hy bijnapner phanke onusthan birti onusthaner manonnyn na kre bijnaperr bjapti diirgh ghnghn birti na kmiye khamkha bideshi tibhir smprcar bndh kre labh hbena krle drshkra khabena brng dibhidi pleyar calabe ontt ami tai krb ami deshi tibhir khbr ar tksho chara dekhina,,Negative,
187,sbai ble je star jlsastarplasji bangla itjadi bndh krte hbekintu bangladesher manush ken eisb cjanel dekha shuru krloshudhumatr ei otirikt bijnapner karneotirikt bijnapn ken bndh kra hbe na er jnj haikorte rit abedn kra pryojn,,Negative,
189,bangla tibhi cjanel dekhte bsle mnhy jen bijnapn dekhte bschi stjii birktikr,,Negative,
195,adber cihno nai,,Neutral,
199,takata dichen to naki chatrliiger netader mto phao khaiya hanta bajaichen,,Negative,
201,or bhitre shytani bra shala,,Negative,
205,je lokgulo jn odhikar hrn kre cleche ainer name be aini kaj kre jacche kthay kthay birodhii dlguloke dmn krar ghoshna dicche jara desher smpd lute pute khacche khunakhuni curi chintai dakati o sntraser mdd data jara rder pribrte bash diye jatike bipde phelteche jara nacgane niraptta dicche othc br br mahphil gulote dhara jari krteche erkm hajaro opradher jara hota tader keu ekdin gach tlay ese kichu khelei sb maph hye jay amra tader ojsr prsngsha kre jannat basi banaiya dei à§· amader eti ekti birat gun à§·je gtkal amar odhikar hrn kreche aj ami sb bhule take sjalut d,,Negative,
207,kintu kicu nimn bngsher oshikshit loker kache eisb bhal lagena karn oder netara ekjn mntrii hyeo kibhabe sadharn manusher sathe misha jay sei bhdrta shikhainii,,Negative,
211,tormt nastiker bangladeshe jayga nei,,Negative,
213,marc jatiiy gnhtja dibs ei dabiiti chilo shrmik pita shajahan khaner,,Neutral,
217,na,,Negative,
219,nastiker dui gale juto maro tale tale,,Negative,
223,prthm alo ar murgi kbirer sathe gbhiir mil ryeche karn ei pranii duti sbsmy islam birodhii chil,,Negative,
225,ei khakir polare eto taitel kon phhinnir pute dilo prthm alo ere samne paile juta pita krtam sala nastik nastik ptrika prthm alo,,Negative,
229,deshe ki buddhijiibiir obhab preche et buddhijiibii thakte prthm alr mt ekti ptrika ekjn bitrkit bjaktir sakshatkar chapl ken tar lagamhiin islam bidbsher ktha ki srbjnbidit ny muslmander jekon dhrmiiy ke se jnggiibad moulbad samprdayikta ble prcar krte bhalbase je karne itomdhje nijeke desher manusher kache ekjn ogrhnjogj bjaktite print kreche asha kri ptrikati agamiite edhrner sakshatkar prkasher age desher bà§ƒhttr jngoshthiir dhrmiiy bishbsher ktha bibecnay rakhbe,,Negative,
231,suura saba ar jara amar ayat smuuhke bjrth krar jnj uthe pre lege jay tader jnje ryeche jntrnadayk shasti,,Negative,
235,purai osthir dhnjbad,,Positive,
237,amar ntun duniyar kichu bhalo laga,,Positive,
238,khub bhalo sngbad peshi shktir ceye jngner cahida motabek prarthii mnonyn ekti shubh siddhant,,Positive,
239,otjnt annder bishy,,Positive,
240,nihsndehe prsngshniiy,,Positive,
241,dhnjbad,,Positive,
242,thjangks sngshodhn krlam,,Positive,
243,ei mubhita besh kyekbar dekhe phelchi ken et bhal lage jani na,,Positive,
244,chbigula bhal hise,,Positive,
245,bhalobasi bhaiya,,Positive,
246,onek bhalbasi,,Positive,
247,bhalbasi re bhai onek bhalbasi,,Positive,
248,bhalbasar jy hok jy hok manbtar,,Positive,
249,shubh buddhir udy hok atma shuddh hok ei kamnai kri,,Positive,
250,chkka marte giye aut shamiim osman,,Negative,
251,bhal lagse sundr hise,,Positive,
252,mja pacchilam,,Positive,
253,dui ta din onek bhalo katlo pasher ei manushtar kljane,,Positive,
254,ki hasi dilire bap chbi oti sundr hiche,,Positive,
255,onek pchnder ekta chbi,,Positive,
256,khub bhalo likhechen,,Positive,
257,bajimat,,Positive,
258,shuruta darun hlo,,Positive,
259,darun ekta posht,,Positive,
260,onek kiut mash allah,,Positive,
261,no kment,,Neutral,
262,eda kintu thik kichs,,Neutral,
263,gol,,Neutral,
264,mjac harleo riyal liigar tpe,,Neutral,
265,shubh jnmdin,,Positive,
266,onek sundr nam,,Positive,
267,onek dhnjbad bhai,,Positive,
268,bhal khbr,,Positive,
269,onek bhal siddhant,,Positive,
270,khubi bhal uddog,,Positive,
271,sthik siddhant,,Positive,
272,bah,,Neutral,
273,jtbari dekhechi ttbari apnake aro beshi bhalbese phelichi osthir apu,,Positive,
274,amra deshke bhalbasi mner gbhiire bangladesh,,Positive,
275,bhal lagl,,Positive,
276,darun laglo,,Positive,
277,khub sundrii,,Positive,
278,khub khub sundr,,Positive,
279,darun to,,Positive,
280,mja pailam,,Positive,
281,bhal lage,,Positive,
282,onek sundr,,Positive,
283,onek bhal lage,,Positive,
284,khub bhal legeche,,Positive,
285,amar pchnder obhinetrii,,Positive,
286,khub mishti,,Positive,
287,mn cay tomake bhalobhasi,,Positive,
288,tomar hasita osadharn tumi obshji onnja,,Positive,
289,khub sundr,,Positive,
290,annde bhasha harijà¦¼e phelechi,,Positive,
291,ma ke khub sundr lagche,,Positive,
292,ekti muslim prdhan deshe prthmalor mt ekti prthm shreniir ptrika islambiddhesii obsthan neoyata kono sbarthanbeshii mhler sathe oikjbddh kuckrii chara ar kichui ny tbe etaje prthmalor ogrjatray br badha hbe eta tara bujhtechena,,Negative,
293,ei shalay ekta mithjuk ar jara tar sakshatkar chapiyeche tara aro br mithjuk,,Negative,
294,shahrijà¦¼ar kbirder jnji desher aj ei obsha eisb lok muslmaner ghre jnm hye kibhabe muslmander birodhita kre buje ase na era mrle eder janajay o ongshgrhn kra thik hbe na jdi na toba kre,,Negative,
295,tui nastik ki bujhbi islamertui toke toderke onurodh krchi tora nam palte rakh karn tor namer karne toke muslim mne kre oneke muslmanke bhul bujhbe,,Negative,
296,mne bhy thaka bhalo tbe allah bhy kon jbin insan ny tui to murgi kbir tui to shiyal ke bhy pabi,,Negative,
297,murgi kbirer mt lokke prthm alo ptrika baniyeche buddhijiibiijeta jatir jnj crm htasha jnkje lok muktijuddher smy pakider kjampe murgir saplai dit se aj muktijeaddha ble biirdrpe cletar mt nastiker kach theke er ceye bhalo mntbj asha kra jay na,,Negative,
298,lekhkgbeshk tthjcitr nirmata shahrijà¦¼ar kbir ha ha ha et jnani lokta et gula tar bisheshn ami dhnj et jnani manush ei deshe ache allah jnaner kon ojnbhar den nai dile deshta to nice debe jet,,Negative,
299,ei shala ki er ktha shune ami obak hi ah tui to soja hbi kintu mrar age hli na kintu jkhn mrar pr soja hbi tkhn smy thakbe na,,Negative,
300,ei kuoar cehara dekhlei amar bmi bmi bhab hy ken jani nase kuoar ceyeo nikà§ƒsht,,Negative,
301,e dhrner ktha blar jnj tar biruddhe bjbstha neoya ucit à§· muslim sngkhj grishth deshe ontt e dhrner dhrmiiy uskanimuulk ktha mene neoya jay na à§· amra cai take tslima nasriner mt desh theke jhata mere deoya hok à§·,,Negative,
302,ta jini krechen ami tar dà§ƒshti arkshn krchibhai inar nam shahriyar kbir murgi cor bhule gechen asha kri theke bhul shudhre niben,,Negative,
303,apnara to bhalo karo sakshatkar niben naetei bojha jay apnader uddeshj ki,,Negative,
304,ekta ktha prclit chbir ei lokta naki mhan muktijuddher smy manusher murgii curi kre pak hanadarder saplai dit eta ktta stj jante iccha kre tbe jetai hok na ken e ekta kalsap nam muslim bhitre iyahudii,,Negative,
305,asun amra sbai ambaliig ebng pulish râ€jaber prti sahajjer hat prsarit kriaj theke chatrliig jubliig ambaliig hye jaioder mt lmpt luiccha phensidil iyaba ptita critriin hoyar skl upkrn amra grhn krieta jdi na paren tahle maijbhandar crmnai deoyanbag hye jaitahle ambaliigder bahinii pulish râ€jaber kauke et ksht kre jnggii natk krte hbenaorao bancbe amrao hadiya peye ei duniyay mhasukhe peterbhuti mota krte parboki blen,,Negative,
306,shunechi sbadhiinta juddher smy se pak senader murgi saplai dit tar upjukt shasti cai,,Negative,
307,mortad shahriyar sara jiibn bkbk kre jaben kon labh hbe na muslmander kichui krte parben na,,Negative,
308,ei ekta bishb sera jarjiblish shahriyar khek shiyal or cehara dekha matri ei iblish er ceharay psrab kra skl muslmaner iimanii dbayiitb,,Negative,
309,core core khalte bhai nastik geche nastiker kache kaker theke kokiler jemn asha kra jay na heter thaika bhal ktha asa kra jay na,,Negative,
310,ei smst phaltu manusher lekha ba sakshatkar ken chapay ami bujina ei smst manusher sathe thakle peikar smman o thakena,,Negative,
311,apnar mt manush guloi srkarke bekaiydai phelcheapnar desh niye kon cinta naiapni shudhu islamer biruddhe ktha blenprthmalo er mt loker niuj prcar kre nijeder grhn jogjta haracchen,,Negative,
312,ekta rajakarje kina juddher smy pakishane murgii saplai ditse oajke muktijuddher snggthktar mt dhandhabaj o naki oabar buddhijiibihayre bibek,,Negative,
313,ekhane kment kre sbaito sbkichu blei diyeche ami ar ki likhb ekhn ei lekhagulo shahriyar kbir dekhe nije ke shudhre nibe ki,,Neutral,
314,asle apni islam birodhii etdin apnake desher sbadhiintar pksher ekjn kandari bltam asle apni ta nn asle apni deshtake ki banate can amar mne hy apni kon kichur mdhje na thaklei desh o dsher jnj mnggl jnk,,Negative,
315,bangladesh koti manusher deshebng se desher shtkra bhag jnsngkhja muslmankintu bangladesh pray pnero koti muslmaner desh hle ki hbe nijeder bhitrei hajar rkmer kjaclaminbbi shtangsh muslmander deshe aoyamii liiger mto kttr islam bidbeshii dl shasn kshmtayjader jatir jnk shekh mujib sbyng ekjn kapher mushrikder hater puutul chilen brtmane tanr sujogja knja shekh hasina ebng tanr dl aoyamii liig smprke blte gele ekkthay bla jay era prjiibiibangladesher apamr jnsadharner sbceye br shtru aoyamii liig desher shtru manbtar shtruebng kttr islam bidbeshii bangladesh aoyamii liig ebng tader dosr islam bidbeshii muktmna ba tthakthit prgtibadiider muul lkshj hlo se desher muslman jnsadharnke islamer moul bishbas o biplbii cetna theke duure srano ebng sei lkshjke tara anjam dicche ekattrer cetnar bahana tule aoyamii liger crm douratmj ebng shekh hasinar shasn kshmtar crm opbjbhar o kshmta kukshigt krar nongra rajnoitik khela smgr bangladeshkei aj crm deuliyatber prjaye pounche dijà¦¼eche obstha etotai krun je bijatiiy dushmnder shikarii dà§ƒshtite ja bhaloi bhalobhabei dhra pdà¦¼eche ar ta bojha jay bangladesher shtkra nbbi jn manusher imanakiidar upr priklpitbhabe aghat hanar bjapk o bipul torjor dekhe ekkthay blte gele aj bishber tabt islam birodhii o bidbeshii batil shktir obadh bicrn kshetr hcche duniyar sbceye ghnbstipuurn muslim odhjushit desh bangladesh bangladeshe bipul sngkhjk manusher muslman ruupe bere uthar mdhje tabt islam bidbeshii shkti bipd dekhte pay phle bangladeshe islamke prajit kra ebng odhrmer crcake prsar deoya shudhu amader bharter hindutbbadiideri uddeshj ny ei lkshj markin juktrashtr o israilsh skl islam bidbeshii kuphphar shktiroebng tader ei mishne tader nirbhrjogj shjogii hlo bangladesher aoyamii srkaraoyamii srkar bangladeshe oyajmhphil o koranhadiiser taphsir mhphilguloke bndh kreche bikhjat taphsirkarkder kauke tara jele bhreche kauke shhiid kreche emn ki jihader njay islamer moul bidhaner upr bipustko bajeyapt krche desher msjider imam o madrasar shikshkder upr kra njr rekheche jen koraner jihad bishyk ayatgulo crca na pay oprdike skul klejer islamii bibhaggulote prjnt muurtipuuja calu kreche aoyamii srkar bangladesher muul smsja aoyamii liig bangladesher muslmander bojha ucit chil deshe hajaro rkmer smsja thakleo seta metano jabekhn age aoyamii pishacder utkhat kra ucit erpr ja smsja ache dekha jabekhn kintu bangladesher jngn stjii dikbhrant,,Negative,
316,murgir bacca kbir sb smjà¦¼ islam bidbeshii ktha ble smjà¦¼ thakte allahr kache maph ceye nis hyt allah maph krte pare,,Negative,
317,ei ta to ekta shuyarer biirju te klon kra manb akà§ƒtir shuyarer bacca ar prthm alo kukur gulor ktha niye ken sngbad prcar kre bujhi na dalaliir ekta limit thaka ucit,,Negative,
318,halarasadharn pulisher upr oatbghatii na caliye ei nastik upr calate parena oi shala br br ktha ble ki bhabe,,Negative,
319,islam shbdta shunlei shahrir kbrer culkani rog shuru hye jaysbai mile onek cikitsa to krlenbhalo hbena mne hybeta nastik hiche to,,Negative,
320,shahriyar kbir ekjn baler gbesk o ekta rajakar uni pakistan armike muktijoddher smy murgi saplai diche,,Negative,
321,prthm alo prthm tar mane prthm alo murgi kbir ceye br nastik,,Negative,
322,shahriyar kbirer jnm niye amar sndeh ache jnmer pr tar jnj ki ajan diyechil na ulu,,Negative,
323,etto sahs hy kibhabe ekta muslim prdhan deshe nijei muslim hye ei dhrner mntbj krte ei mntbjgulo krar preo je desher mdhje puradme din njapn krteche etaito osamprdayiktar br udahrn prkà§ƒt islam kkhnoi jnji o htja smrth kre nah je dhrm htja krte shikhay seta ar jai huk islam to nishcy nah gadha gbeshk muul dhrmgrth prun dekhun islam kt mhan baikka buirar bys hiche to sathiya geye,,Negative,
324,murgi kbir jdi mjupuur asto take ami nij hate juutapida krtamnastik kbir tui koraner sheutuui mslmaner seu,,Negative,
325,oboidh bhabe khmtay torasb malaoner baccara tode eta htei pare bharter dalalera,,Negative,
326,prthm alor mt luiccara ekhno ei abal chagu gularei buddhijibii mne kre sakshatkar nite jay,,Negative,
327,prthm alo jemn phaltu temn phaltu crmpnthi enti islamisht er sakshatkar prkash kreche,,Negative,
328,prthm oalu oar shahriyar kbir eki sutre ganthaduitai islam birodhiiduitai muktijuddher cetna niya bjbsa kre,,Negative,
329,kâ€Œiâ€Œntu jai blâ€Œeâ€Œnnakâ€Œeâ€Œn bys shâ€Œeâ€Œshe islamii bâ€Œiâ€Œdhan mâ€Œeâ€Œne oi kbrâ€Œeâ€Œi jeâ€Œte hbâ€Œe sâ€Œeâ€Œta hbâ€Œe oapnar bâ€Œiâ€Œbeâ€Œker kachâ€Œe oapnar bâ€Œiâ€Œrat prajy,,Negative,
